"Status","Name","Duration in ms","Description"
"failed","11艺人搜（加）.艺人搜索pvs-字段","2","电影搜索

艺人搜索pvs-字段"
"failed","6音乐片库.欧美专区tag-select-字段名","2","欧美专区tag-select-字段名"
"failed","08直播.直播播放pvs-字段","2","直播播放pvs-字段"
"failed","10高级筛选 2（加自频道）.教育pv-字段","2","综艺推荐和搜索按钮搜索

教育pv-字段"
"failed","下拉刷新&频道性能.电视剧页广告下拉刷新refresh-字段值","3","电视剧页广告下拉刷新refresh-字段值"
"failed","12-推荐列表页行为上报.推荐列表分享share-字段","2","推荐列表分享share-字段"
"failed","05明星空间.进入空间action-条数","2","明星搜索

进入空间action-条数"
"failed","93-频道 频道跳转.体育pvs-条数","4746","体育pvs-条数"
"failed","分集下载.收银台展示show_store-字段","2","收银台展示show_store-字段"
"failed","1-点播.点击收藏pfc-字段值","3","点击收藏pfc-字段值"
"failed","15电视-集数-上传视频-热门搜索.动漫click-字段","1","电视剧搜索

动漫click-字段"
"failed","12-推荐列表页行为上报.推荐列表取消点赞cclike-字段值","1","推荐列表取消点赞cclike-字段值"
"failed","1综艺片库.内地变为全部list-字段名","2","内地变为全部list-字段名"
"failed","10高级筛选 2（加自频道）.自频道pv-条数","2","综艺推荐和搜索按钮搜索

自频道pv-条数"
"failed","下拉刷新&频道性能.综艺页广告下拉刷新refresh-条数","13252","综艺页广告下拉刷新refresh-条数"
"passed","93-频道 频道跳转.精选pvs-字段名","3","精选pvs-字段名"
"failed","94-HB.播放页列表跳转播放hb-字段值","3","播放页列表跳转播放hb-字段值"
"passed","8-频道 个人点播跳转.分享到QQ空间share-字段","4","分享到QQ空间share-字段"
"failed","96-播单.播单曝光bdrelatepv-字段","4","播单曝光bdrelatepv-字段"
"failed","广告流失率.未添加离线退出adlost-字段值","4","未添加离线退出adlost-字段值"
"failed","Vip主页.取消支付cance-字段名","2","取消支付cance-字段名"
"failed","2电视剧片库.偶像list-字段","2","偶像list-字段"
"passed","97-其它.首页-缓存pvs-条数","13387","首页-缓存pvs-条数"
"failed","10高级筛选 2（加自频道）.生活search-条数","2","综艺推荐和搜索按钮搜索

生活search-条数"
"failed","频道页排行榜.电视剧排行榜点击aplay-字段值","4","电视剧排行榜点击aplay-字段值"
"failed","会员消息.order-字段","2","order-字段"
"failed","09高级筛选 1.1天view-字段","2","综艺推荐和搜索按钮搜索

1天view-字段"
"failed","97-其它.使用过兑换码-会员中心pvs-字段值","4","使用过兑换码-会员中心pvs-字段值"
"failed","合集下载.会员去广告result-字段","2","会员去广告result-字段"
"failed","97-其它.芒果账户登录-历史账户登录pvs-条数","3749","芒果账户登录-历史账户登录pvs-条数"
"failed","10高级筛选 2（加自频道）.生活view-条数","1","综艺推荐和搜索按钮搜索

生活view-条数"
"failed","分集下载.下载列表pvs-字段名","2","下载列表pvs-字段名"
"failed","3电影片库.点第6个视频data-click-字段名","1","点第6个视频data-click-字段名"
"failed","10高级筛选 2（加自频道）.电影search-字段值","1","综艺推荐和搜索按钮搜索

电影search-字段值"
"passed","8-频道 个人点播跳转.退出个人点播pvs-字段值","3","退出个人点播pvs-字段值"
"failed","4动漫片库.剧场版list-条数","1","剧场版list-条数"
"failed","06电影-合集点击.电影搜索click-字段","1","电影搜索click-字段"
"failed","09高级筛选 1.大于60分钟view-字段","2","综艺推荐和搜索按钮搜索

大于60分钟view-字段"
"passed","4-我 页面跳转.设置pvs-字段","3","设置pvs-字段"
"failed","2播单-有广告.分享到QQ空间share-字段值","4","分享到QQ空间share-字段值"
"passed","11-Vip 1.开通会员返回pvs-条数","15829","开通会员返回pvs-条数"
"failed","14综艺-全部-中间页-相同系列.点全部播放action-字段值","2","综艺推荐和搜索按钮搜索

点全部播放action-字段值"
"failed","06电影-合集点击.电影搜索search-字段","2","电影搜索search-字段"
"failed","A库影片.result-条数","2","result-条数"
"failed","04相关明星相关艺人.艺人搜索view-条数","27","明星搜索

艺人搜索view-条数"
"failed","3-我-会员中心.开通会员pvs-条数","5411","页面跳转（首页-片库页-播放页）

开通会员pvs-条数"
"failed","A库影片.A库视频aplay-字段","2","A库视频aplay-字段"
"passed","4-我 页面跳转.帮助反馈返回pvs-字段","3","帮助反馈返回pvs-字段"
"failed","14综艺-全部-中间页-相同系列.相同系列点击click-字段值","1","综艺推荐和搜索按钮搜索

相同系列点击click-字段值"
"failed","15电视-集数-上传视频-热门搜索.动漫pvs-字段","2","电视剧搜索

动漫pvs-字段"
"failed","Vip主页.点击购买按钮click_pay_button-字段名","2","点击购买按钮click_pay_button-字段名"
"failed","12-推荐列表页行为上报.进入推荐列表view-条数","2","进入推荐列表view-条数"
"failed","6音乐片库.MV聚集地tag-select-条数","2","MV聚集地tag-select-条数"
"failed","前贴广告操作.点击了解详情click-条数","19488","点击了解详情click-条数"
